,_id,count,display_url,"function (description, open = """", blocking = TRUE, encoding = getOption(""encoding""), method = getOption(""url.method"", ""default"")) 
{
    method <- match.arg(method, c(""default"", ""internal"", ""libcurl"", ""wininet""))
    .Internal(url(description, open, blocking, encoding, method))
}"
177,https://twitter.com/UKMoments/status/961134036424056832,38,https://twitter.com/UKMoments/status/961134036424056832,https://twitter.com/UKMoments/status/961134036424056832
178,https://www.thestar.com/opinion/star-columnists/2018/02/09/how-cheddar-man-shatters-accepted-views-of-immigration.html,38,https://www.thestar.com/opinion/star-columnists/2018/02/09/how-cheddar-man-shatters-accepted-views-of-immigration.html,https://www.thestar.com/opinion/star-columnists/2018/02/09/how-cheddar-man-shatters-accepted-views-of-immigration.html
179,http://www.independent.co.uk/voices/cheddar-man-latest-somerset-racial-identity-brexit-donald-trump-meghan-markle-a8199341.html,38,http://www.independent.co.uk/voices/cheddar-man-latest-somerset-racial-identity-brexit-donald-trump-meghan-markle-a8199341.html,http://www.independent.co.uk/voices/cheddar-man-latest-somerset-racial-identity-brexit-donald-trump-meghan-markle-a8199341.html
180,https://nyti.ms/2BLJNKn,38,https://nyti.ms/2BLJNKn,https://nyti.ms/2BLJNKn
181,anonymised,38,anonymised,anonymised
182,https://twitter.com/TheDailyShow/status/961686842885197832,38,https://twitter.com/TheDailyShow/status/961686842885197832,https://twitter.com/TheDailyShow/status/961686842885197832
183,http://go.shr.lc/2E8Qurb,36,http://go.shr.lc/2E8Qurb,http://go.shr.lc/2E8Qurb
184,https://twitter.com/BBCAfrica/status/961191828027568129,36,https://twitter.com/BBCAfrica/status/961191828027568129,https://twitter.com/BBCAfrica/status/961191828027568129
185,https://www.thetimes.co.uk/article/cheddar-man-the-first-modern-human-in-britain-had-blue-eyes-and-black-skin-x2zltvlpd,36,https://www.thetimes.co.uk/article/cheddar-man-the-first-modern-human-in-britain-had-blue-eyes-and-black-skin-x2zltvlpd,https://www.thetimes.co.uk/article/cheddar-man-the-first-modern-human-in-britain-had-blue-eyes-and-black-skin-x2zltvlpd
186,anonymised,36,anonymised,anonymised
187,https://twitter.com/cbspittsburgh/status/963141992082563072,35,https://twitter.com/cbspittsburgh/status/963141992082563072,https://twitter.com/cbspittsburgh/status/963141992082563072
188,http://d.gu.com/QFrgmS,35,http://d.gu.com/QFrgmS,http://d.gu.com/QFrgmS
189,anonymised,35,anonymised,anonymised
190,http://cnn.it/2nIEIK7,35,http://cnn.it/2nIEIK7,http://cnn.it/2nIEIK7
191,http://www.chesterbugle.co.uk/2018/02/09/cheddar-man-declared-fit-work-dwp/,35,http://www.chesterbugle.co.uk/2018/02/09/cheddar-man-declared-fit-work-dwp/,http://www.chesterbugle.co.uk/2018/02/09/cheddar-man-declared-fit-work-dwp/
192,anonymised,34,anonymised,anonymised
193,anonymised,34,anonymised,anonymised
194,http://www.cnn.com/2018/02/07/europe/cheddar-man-had-dark-skin-intl/index.html,34,http://www.cnn.com/2018/02/07/europe/cheddar-man-had-dark-skin-intl/index.html,http://www.cnn.com/2018/02/07/europe/cheddar-man-had-dark-skin-intl/index.html
195,anonymised,34,anonymised,anonymised
196,anonymised,33,https://twitter.com/carlzimmer/status/965393912071417856,anonymised
197,http://www.cbc.ca/news/technology/cheddar-man-1.4524247,33,http://www.cbc.ca/news/technology/cheddar-man-1.4524247,http://www.cbc.ca/news/technology/cheddar-man-1.4524247
198,https://www.sciencesetavenir.fr/archeo-paleo/anthropologie/cheddar-man-le-plus-vieux-britannique-connu-avait-la-peau-noire-et-les-yeux-bleus_120593,33,https://www.sciencesetavenir.fr/archeo-paleo/anthropologie/cheddar-man-le-plus-vieux-britannique-connu-avait-la-peau-noire-et-les-yeux-bleus_120593,https://www.sciencesetavenir.fr/archeo-paleo/anthropologie/cheddar-man-le-plus-vieux-britannique-connu-avait-la-peau-noire-et-les-yeux-bleus_120593
199,http://bit.ly/2EM5Ulr,33,http://bit.ly/2EM5Ulr,http://bit.ly/2EM5Ulr
200,http://cnn.it/2nUruJi,32,http://cnn.it/2nUruJi,http://cnn.it/2nUruJi
201,anonymised,32,anonymised,anonymised
202,http://wef.ch/2EygHiy,32,http://wef.ch/2EygHiy,http://wef.ch/2EygHiy
203,https://twitter.com/bbcafrica/status/961191828027568129,32,https://twitter.com/bbcafrica/status/961191828027568129,https://twitter.com/bbcafrica/status/961191828027568129
204,anonymised,32,anonymised,anonymised
205,anonymised,32,anonymised,anonymised
206,anonymised,31,anonymised,anonymised
207,http://wef.ch/2H3cy4r,31,http://wef.ch/2H3cy4r,http://wef.ch/2H3cy4r
208,anonymised,31,anonymised,anonymised
209,anonymised,31,anonymised,anonymised
210,anonymised,31,anonymised,anonymised
211,anonymised,31,anonymised,anonymised
212,https://www.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals?CMP=share_btn_fb,31,https://www.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals?CMP=share_btn_fb,https://www.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals?CMP=share_btn_fb
213,https://www.courrierinternational.com/une/cheddar-man-lancetre-britannique-la-peau-noire,31,https://www.courrierinternational.com/une/cheddar-man-lancetre-britannique-la-peau-noire,https://www.courrierinternational.com/une/cheddar-man-lancetre-britannique-la-peau-noire
214,http://jrnl.ie/3840186,30,http://jrnl.ie/3840186,http://jrnl.ie/3840186
